FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
at.exe,28,6.1,18228,0,2072,7228,4,54812,33088,11776,262144,clean
AtBroker.exe,28,6.1,25052,0,1360,1792,4,84681,33088,5632,262144,clean
atmadm.exe,28,5.1,7832,0,4696,9292,3,33961,32768,14848,262144,clean
attrib.exe,28,6.1,11876,0,2016,896,4,73962,33088,4096,262144,clean
audiodg.exe,56,6.1,88356,0,2088,153,7,119595,33088,9728,262144,clean
audit.exe,28,6.1,57580,0,4072,1176,4,106946,33088,10240,262144,clean
auditpol.exe,28,6.1,42908,0,2032,2472,4,104901,33088,7680,1048576,clean
auditusr.exe,28,5.1,14244,0,992,128,3,60955,32768,1536,262144,clean
autochk.exe,28,6.1,418156,0,229168,12608,4,720990,320,251392,262144,clean
autoconv.exe,28,6.1,429780,0,229224,12800,4,710089,320,251392,262144,clean
AutoFAT.exe,28,0.0,209852,0,984,80114,5,262198,0,612864,524288,clean
autofmt.exe,28,6.1,409308,0,229200,12608,4,702216,320,251392,262144,clean
autolfn.exe,28,5.1,10888,0,1104,108,4,47620,0,2560,262144,clean
Autologon.exe,28,0.0,134844,0,2692,23536,4,152281,32768,31232,1048576,clean
AutoNTFS.exe,28,0.0,165044,0,1000,35269,5,218575,0,303616,1048576,clean
Autoruns.exe,56,0.0,515800,0,107184,118544,5,696042,33088,287744,1048576,clean
autorunsc.exe,56,0.0,436808,0,107184,110068,5,642991,33088,272896,1048576,clean
AxImp.exe,28,0.0,50600,0,1624,1624,3,113911,34144,2560,1048576,clean
AxInstUI.exe,28,6.1,7580,0,50040,896,4,98090,33088,52224,262144,clean
baaupdate.exe,28,6.1,14484,1580,90992,908,4,140359,33088,93184,262144,clean
bcdboot.exe,28,6.1,131228,0,4912,1900,4,181435,33088,14848,262144,clean
bcdedit.exe,28,6.1,147556,0,138328,1844,4,317529,33088,148480,262144,clean
bckgzm.exe,28,6.1,14332,0,76032,1548,4,145689,33088,79872,262144,clean
BdeHdCfg.exe,28,6.1,17228,0,106280,896,4,134865,33088,109056,262144,clean
BdeUISrv.exe,28,6.1,32704,0,5376,1364,4,104649,33088,9728,262144,clean
BdeUnlockWizard.exe,28,6.1,6796,0,90864,888,4,99584,33088,93184,262144,clean
bfsvc.exe,28,6.1,57396,0,2064,1784,4,75847,33088,8192,262144,clean
Bginfo.exe,28,0.0,671836,0,147184,140364,4,892732,32768,301568,1048576,clean
BitLockerToGo.exe,28,6.1,130728,0,90744,14639,6,315908,33088,102400,262144,clean
BitLockerWizard.exe,28,6.1,8436,0,90936,888,4,117824,33088,93184,262144,clean
BitLockerWizardElev.exe,28,6.1,8436,0,91056,888,4,155260,33088,93184,262144,clean
bitsadmin.exe,28,6.1,173284,0,2064,84872,4,217406,33088,95744,262144,clean
blastcln.exe,28,5.1,66040,0,1016,10952,3,87793,32768,12288,262144,clean
bootcfg.exe,28,6.1,74428,0,2104,1212,4,84199,33088,7680,1048576,clean
bootok.exe,28,5.1,4804,0,1032,32,3,44668,32768,2048,262144,clean
bootvrfy.exe,28,5.1,5220,0,1032,108,3,48799,32768,2048,262144,clean
breakin.exe,28,6.3,12452,0,2448,880,5,46623,49472,5632,262144,clean
bridgeunattend.exe,28,6.1,13844,0,1776,1104,4,74926,33088,4608,262144,clean
BrmfRsmg.exe,28,6.0,41532,0,2032,14180,4,81314,33088,20480,204800,clean
